modality,reference,model,tilt,MAE,MSE,PSNR,SSIM
noisy,noiseless,4,36,0.37798315,0.1486371211030022,8.278727149569205,0.20616364
noisy,noiseless,4,37,0.37694824,0.14787302750537817,8.301110354273657,0.20533958
noisy,noiseless,4,38,0.3758365,0.14705126398755775,8.325312381377872,0.20374724
noisy,noiseless,4,39,0.37464482,0.14617645949624675,8.3512256126354,0.20338844
noisy,noiseless,4,40,0.3733986,0.14528399718934884,8.377822199422324,0.20210797
noisy,noiseless,4,41,0.3720825,0.1443389075407363,8.40616586074586,0.20076744
noisy,noiseless,4,42,0.3706869,0.14334262734780964,8.436246395469686,0.19974479
noisy,noiseless,4,43,0.369197,0.14228978539406434,8.468262756445876,0.19754982
noisy,noiseless,4,44,0.36764923,0.14118085441538908,8.502241941164515,0.19642934
noisy,noiseless,4,45,0.36604658,0.14005050842402975,8.53715310222421,0.19541942
noisy,noiseless,4,46,0.36437768,0.13887556263856599,8.573741685527535,0.19391504
noisy,noiseless,4,47,0.3626509,0.1376519052812985,8.612177730288938,0.19304812
noisy,noiseless,4,48,0.36086497,0.13639175986113167,8.65211866885851,0.19158603
noisy,noiseless,4,49,0.3590356,0.13514436552553946,8.692020563076667,0.19035557
noisy,noiseless,4,50,0.3571474,0.13387549103150642,8.732989232421975,0.18835957
noisy,noiseless,4,51,0.3551942,0.1325517679233709,8.77614475443192,0.18712345
noisy,noiseless,4,52,0.3531702,0.13120175596306904,8.82060352460602,0.18591473
noisy,noiseless,4,53,0.3510822,0.12980579122863517,8.867059312449419,0.18458094
noisy,noiseless,4,54,0.34892052,0.1283690146984377,8.915397922284662,0.18321905
noisy,noiseless,4,55,0.34669644,0.12689106837216474,8.965689460155897,0.1824497
noisy,noiseless,4,56,0.34441048,0.12540633046929772,9.01680539912869,0.18078893
noisy,noiseless,4,57,0.34205225,0.12384468045810447,9.071226430733576,0.1800265
noisy,noiseless,4,58,0.33963025,0.12230966775466252,9.125392135560254,0.17852409
noisy,noiseless,4,59,0.33715326,0.12072173913853762,9.18214516664958,0.17797405
noisy,noiseless,4,60,0.33459443,0.11907534678213064,9.241781450223643,0.17682615
faket,noiseless,4,0,0.5039948,0.25970937091965296,5.855123797304511,0.26922864
faket,noiseless,4,1,0.4812644,0.23750193877648776,6.243328407907206,0.24718001
faket,noiseless,4,2,0.47595447,0.23239116797886872,6.337803813201245,0.2423784
faket,noiseless,4,3,0.45568725,0.21373104844526594,6.701323838303668,0.22903243
faket,noiseless,4,4,0.45986104,0.2173655316084038,6.628093223430291,0.23445168
faket,noiseless,4,5,0.441741,0.20131892430976844,6.9611539879734945,0.22132313
faket,noiseless,4,6,0.42447847,0.186678121805118,7.289065772628649,0.21078646
faket,noiseless,4,7,0.40644762,0.17204589218267935,7.643556922595145,0.20147786
faket,noiseless,4,8,0.3899979,0.1592605343537233,7.97891831454897,0.19355252
faket,noiseless,4,9,0.41220778,0.17640799844105853,7.53481727593853,0.2082715
faket,noiseless,4,10,0.39880452,0.16582561415358563,7.803483855687427,0.20138296
faket,noiseless,4,11,0.3863067,0.15627252087815707,8.061173820586674,0.19558918
faket,noiseless,4,12,0.37454265,0.14759202562743082,8.30937106737642,0.19026133
faket,noiseless,4,13,0.36236572,0.13887450219310177,8.573774848120223,0.18429169
faket,noiseless,4,14,0.35280338,0.13228948054964562,8.784746888501276,0.1792025
faket,noiseless,4,15,0.34232864,0.12526661554579835,9.021646561891806,0.17521359
faket,noiseless,4,16,0.3325914,0.11887001858581919,9.24927669390137,0.17213318
faket,noiseless,4,17,0.3803233,0.15161647435968648,8.192536065220308,0.1941652
faket,noiseless,4,18,0.37359115,0.1467199823678259,8.33510733865687,0.19033447
faket,noiseless,4,19,0.36769643,0.1424940105789236,8.46203389881364,0.1864303
faket,noiseless,4,20,0.3615821,0.13815320828060365,8.596390251710389,0.18487513
faket,noiseless,4,21,0.35671446,0.13480428277584672,8.70296309904772,0.18184789
faket,noiseless,4,22,0.35214996,0.13169783878719826,8.804213519212487,0.17996366
faket,noiseless,4,23,0.34776834,0.12878089098190598,8.901485745289802,0.17677578
faket,noiseless,4,24,0.34453076,0.12662617580253796,8.97476508919456,0.17622279
